cast_popularity,major,actor_2_name,us,vote_average,actor_1_name,revenue,budget_binned,vote_count_binned,director_name,vote_average_binned,revenue_binned,macro_genre,vote_count,budget,actor_3_name,genres,title,original_language,cast_popularity_binned
22.182979,0,Jessica Chastain,1,6.5,Oscar Isaac,12007070,avg,ok,J.C. Chandor,ok,avg,dark,546,20000000,Albert Brooks,Crime|Drama|Thriller,A Most Violent Year,en,"(-0.176, 58.674]"
53.958172999999995,0,Heath Ledger,1,6.6,Cate Blanchett,4001121,avg,bad,Todd Haynes,ok,low,drama,195,20000000,Julianne Moore,Drama|Music,I'm Not There.,en,"(-0.176, 58.674]"
56.257873000000004,0,Verónica Echegui,1,4.8,Henry Cavill,16863583,avg,ok,Mabrouk El Mechri,bad,avg,dark,271,20000000,Sigourney Weaver,Action|Thriller,The Cold Light of Day,en,"(-0.176, 58.674]"
25.557956,0,Adrien Brody,1,6.8,Rachel Weisz,5530764,avg,ok,Rian Johnson,ok,low,light,203,20000000,Mark Ruffalo,Adventure|Comedy|Drama|Romance,The Brothers Bloom,en,"(-0.176, 58.674]"
7.228357000000001,0,Yuriko Ishida,0,8.2,Yōji Matsuda,159375308,avg,great,Hayao Miyazaki,great,avg,action,1983,26500000,Yūko Tanaka,Adventure|Fantasy|Animation,Princess Mononoke,ja,"(-0.176, 58.674]"
19.589796,0,Ray Winstone,0,7.1,Guy Pearce,5048693,low,ok,John Hillcoat,great,low,action,218,2000000,Emily Watson,Action|Adventure|Crime|Drama|Thriller|Western,The Proposition,en,"(-0.176, 58.674]"
14.988188999999998,1,Damon Wayans,1,3.3,Lisa Kudrow,1675706,avg,bad,Richard Benjamin,bad,low,light,12,20000000,Richard Benjamin,Comedy,Marci X,en,"(-0.176, 58.674]"
34.263926999999995,0,Taye Diggs,1,6.9,Christian Bale,5359645,avg,great,Kurt Wimmer,ok,low,action,1552,20000000,Emily Watson,Action|Science Fiction|Thriller,Equilibrium,en,"(-0.176, 58.674]"
11.325028999999999,0,Radha Mitchell,0,6.5,Jonathan Rhys Meyers,7400000,avg,bad,Roger Spottiswoode,ok,low,drama,52,40000000,Chow Yun-fat,Drama|War,The Children of Huang Shi,zh,"(-0.176, 58.674]"
29.663248000000003,0,Brad Pitt,1,5.4,Angelina Jolie,3727746,low,bad,Angelina Jolie,ok,low,drama,156,10000000,Mélanie Laurent,Drama|Romance,By the Sea,en,"(-0.176, 58.674]"
6.7444370000000005,1,Esai Morales,1,6.2,Jason Scott Lee,305070,avg,bad,Kevin Reynolds,ok,low,action,33,20000000,Sandrine Holt,Adventure,Rapa Nui,en,"(-0.176, 58.674]"
12.328598999999999,0,Peter Stormare,1,4.5,Brandon Routh,4634062,avg,bad,Kevin Munroe,bad,low,dark,139,20000000,Sam Huntington,Action|Comedy|Horror|Mystery|Science Fiction|Thriller,Dylan Dog: Dead of Night,en,"(-0.176, 58.674]"
26.644216999999998,0,Felicity Jones,1,6.0,Helen Mirren,346594,avg,bad,Julie Taymor,ok,low,drama,31,20000000,Reeve Carney,Drama|Fantasy,The Tempest,en,"(-0.176, 58.674]"
25.835154,0,Vanessa Hudgens,1,6.1,Nicolas Cage,5496951,avg,ok,Scott Walker,ok,low,dark,465,27220000,John Cusack,Thriller|Crime,The Frozen Ground,en,"(-0.176, 58.674]"
16.206991999999996,0,Mary McDonnell,1,7.6,Kevin Costner,424208848,avg,ok,Kevin Costner,great,high,action,1046,22000000,Graham Greene,Adventure|Drama|Western,Dances with Wolves,en,"(-0.176, 58.674]"
33.83891800000001,1,Jason Segel,1,5.4,Cameron Diaz,216197492,avg,great,Jake Kasdan,ok,high,light,1584,20000000,Justin Timberlake,Comedy,Bad Teacher,en,"(-0.176, 58.674]"
28.470981000000005,1,Ellen Barkin,1,6.7,Al Pacino,110879513,avg,bad,Harold Becker,ok,avg,dark,141,19000000,John Goodman,Drama|Crime|Mystery,Sea of Love,en,"(-0.176, 58.674]"
19.545426,1,Jennifer Coolidge,1,6.1,Hilary Duff,70067909,avg,ok,Mark Rosman,ok,avg,light,713,19000000,Chad Michael Murray,Comedy,A Cinderella Story,en,"(-0.176, 58.674]"
34.74381700000001,0,Neve Campbell,1,7.0,David Arquette,173046663,avg,great,Wes Craven,ok,avg,dark,1476,14000000,Courteney Cox,Crime|Horror|Mystery,Scream,en,"(-0.176, 58.674]"
14.495872000000002,1,Shelley Duvall,1,8.1,Jack Nicholson,44017374,avg,great,Stanley Kubrick,great,avg,dark,3757,19000000,Danny Lloyd,Horror|Thriller,The Shining,en,"(-0.176, 58.674]"
23.953498000000003,1,Christopher Lloyd,1,8.0,Michael J. Fox,381109762,avg,great,Robert Zemeckis,great,high,light,6079,19000000,Lea Thompson,Adventure|Comedy|Science Fiction|Family,Back to the Future,en,"(-0.176, 58.674]"
21.808945,1,Famke Janssen,1,5.5,Geoffrey Rush,40846082,avg,ok,William Malone,ok,avg,dark,209,19000000,Taye Diggs,Horror|Mystery|Thriller,House on Haunted Hill,en,"(-0.176, 58.674]"
27.703590000000002,0,Jennifer Aniston,1,5.9,Jason Bateman,49830607,avg,ok,Josh Gordon,ok,avg,light,583,19000000,Jeff Goldblum,Comedy|Romance|Drama,The Switch,en,"(-0.176, 58.674]"
8.173667000000002,0,Brittany Murphy,1,5.3,Ashton Kutcher,101564935,avg,ok,Shawn Levy,ok,avg,light,404,18000000,Christian Kane,Comedy,Just Married,en,"(-0.176, 58.674]"
11.096862999999999,0,Ludivine Sagnier,0,6.5,Dominic Cooper,5728213,avg,ok,Lee Tamahori,ok,low,dark,208,19100000,Raad Rawi,Drama|Action|Thriller|Crime|War,The Devil's Double,en,"(-0.176, 58.674]"
23.243905000000005,0,Radha Mitchell,1,6.2,Timothy Olyphant,54956140,avg,ok,Breck Eisner,ok,avg,dark,633,20000000,Joe Anderson,Mystery|Horror|Action,The Crazies,en,"(-0.176, 58.674]"
9.037510000000001,0,Miyu Irino,0,8.3,Rumi Hiiragi,274925095,avg,great,Hayao Miyazaki,great,high,action,3840,15000000,Mari Natsuki,Fantasy|Adventure|Animation|Family,Spirited Away,ja,"(-0.176, 58.674]"
29.235291999999998,0,Anthony Hopkins,1,6.5,Mel Gibson,8613462,avg,bad,Roger Donaldson,ok,low,action,108,25000000,Laurence Olivier,Action|Drama|History,The Bounty,en,"(-0.176, 58.674]"
13.594789999999998,0,Amanda Crew,1,6.0,Josh Zuckerman,18755936,avg,ok,Sean Anders,ok,avg,light,342,19000000,Clark Duke,Comedy|Adventure|Romance,Sex Drive,en,"(-0.176, 58.674]"
19.246916000000006,1,Matthew Goode,1,6.4,Amy Adams,29922472,avg,ok,Anand Tucker,ok,avg,light,465,19000000,Adam Scott,Romance|Comedy,Leap Year,en,"(-0.176, 58.674]"
